Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Purpose,Source,Source_def
1999,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ID,,,3,live,Personal,W,Taken from wild
2015,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ID,,1,,live,Personal,W,Taken from wild
1996,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,SN,,,100,live,Personal,W,Taken from wild
1990,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,MY,ID,,1630,live,Commercial,W,Taken from wild
1990,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,US,ID,,6,live,Commercial,W,Taken from wild
1991,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ID,,,1944,live,Commercial,W,Taken from wild
1991,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,MY,ID,,775,live,Commercial,W,Taken from wild
1993,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,SB,,,200,live,Commercial,W,Taken from wild
1994,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,SB,,530,,live,Commercial,W,Taken from wild
1995,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ID,,,375,live,Commercial,W,Taken from wild
1996,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ID,,471,771,live,Commercial,W,Taken from wild
1997,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ID,,,630,live,Commercial,W,Taken from wild
1998,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ID,,,1018,live,Commercial,W,Taken from wild
1999,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ID,,,28,live,Commercial,W,Taken from wild
2001,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,ID,,,25,live,Commercial,W,Taken from wild
2002,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,SB,,510,,live,Commercial,W,Taken from wild
2003,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,SB,,60,,live,Commercial,W,Taken from wild
1993,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ES,UY,,30,live,Commercial,W,Taken from wild
1997,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ES,UY,,24,live,Commercial,W,Taken from wild
2003,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ES,UY,300,300,live,Commercial,W,Taken from wild
2004,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ES,UY,800,800,live,Commercial,W,Taken from wild
2005,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,AR,,750,750,live,Commercial,W,Taken from wild
2005,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ES,UY,400,,live,Commercial,W,Taken from wild
2005,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,UY,,,800,live,Commercial,W,Taken from wild
2008,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,UY,,300,300,live,Commercial,W,Taken from wild
2010,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,UY,,1100,700,live,Commercial,W,Taken from wild
2011,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,UY,,1300,700,live,Commercial,W,Taken from wild
2012,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,UY,,3000,1500,live,Commercial,W,Taken from wild
2013,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,UY,,500,,live,Commercial,W,Taken from wild
1991,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ID,,,850,live,Commercial,W,Taken from wild
1991,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,MY,ID,,50,live,Commercial,W,Taken from wild
1994,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,VN,,1300,,live,Commercial,W,Taken from wild
1995,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,VN,,300,,live,Commercial,W,Taken from wild
1996,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ID,,50,50,live,Commercial,W,Taken from wild
1996,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,VN,,200,,live,Commercial,W,Taken from wild
1997,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ID,,,83,live,Commercial,W,Taken from wild
1997,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,GN,,,155,live,Commercial,W,Taken from wild
1998,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,PK,,,1000,live,Commercial,W,Taken from wild
